vt_symbol,name,date,ym,组,出手,通道,位置,夹层,曾收顶上,res,D1开%,D1收%,板留%,距顶%,坑深%,弹回%,坑宽,ma_st,上波高,昨幅%,昨上影%,昨涨停家,is_wv,v3grp,is_lim,n1_lim,prev_lim
000700.SZSE,模塑科技,2026-06-26,2026-06,2板补涨阴,False,,U坑内,,True,炸板,-7.13,-9.29,-9.29,-16.22,-16.22,0.0,16,--+,2,-4.34,3.93,77.0,False,,False,False,False
000705.SZSE,浙江震元,2023-12-20,2023-12,2板补涨阴,False,,U坑内,,False,封D1负,0.3,-0.3,-0.3,-14.37,-14.37,0.0,4,+++,2,-5.2,0.83,19.0,False,,True,False,False
000710.SZSE,贝瑞基因,2025-02-14,2025-02,2板补涨阴,False,,无U,,True,连板,9.97,9.97,-1.03,0.28,0.28,0.0,4,+++,2,-0.66,3.29,45.0,True,05,True,True,False
000710.SZSE,贝瑞基因,2025-03-06,2025-03,2板补涨阴,False,,无U,,False,封D1正,-1.72,2.79,2.79,-1.8,-1.8,0.0,2,+++,2,-1.8,3.01,55.0,False,,True,False,False
000712.SZSE,锦龙股份,2024-08-13,2024-08,2板补涨阴,False,,U坑内,,False,封D1正,-0.27,4.5,4.5,-22.27,-22.34,0.1,8,-++,2,0.1,1.49,23.0,False,,True,False,False
000719.SZSE,中原传媒,2023-08-22,2023-08,2板补涨阴,False,,U坑内,,False,封D1正,3.01,3.65,3.65,-6.75,-6.75,0.0,11,-++,2,-1.38,2.58,20.0,False,,True,False,False
000719.SZSE,中原传媒,2023-08-29,2023-08,2板补涨阴,False,,U突破,,True,封D1正,0.52,2.73,2.73,0.0,-6.75,7.24,16,+++,2,-0.81,0.81,28.0,False,,True,False,False
000720.SZSE,新能泰山,2026-05-28,2026-05,2板补涨阴,False,,U坑内,,False,封D1正,2.56,4.14,4.14,-18.98,-18.98,0.0,14,--+,2,-2.12,2.12,45.0,False,,True,False,False
000736.SZSE,中交发展,2024-02-02,2024-02,2板补涨阴,False,,U坑内,,False,炸板,-6.68,-13.26,-13.26,-15.14,-15.14,0.0,5,++-,2,-5.8,0.81,27.0,False,,False,False,False
000736.SZSE,中交发展,2024-09-25,2024-09,2板补涨阴,False,,无U,,True,炸板,-20.48,-10.0,-8.33,27.51,3.12,23.65,5,+++,2,7.21,0.0,76.0,False,,False,True,False
000736.SZSE,中交发展,2024-10-16,2024-10,2板补涨阴,False,,无U,,True,封D1负,0.35,-7.16,-7.16,17.37,3.12,13.82,15,-++,2,-4.01,3.19,33.0,False,,True,False,False
000751.SZSE,锌业股份,2026-02-24,2026-02,2板补涨阴,False,,U坑内,,True,炸板,-0.81,5.84,5.84,-10.97,-11.76,0.9,15,--+,2,-1.41,2.99,29.0,False,,False,True,False
000751.SZSE,锌业股份,2026-02-27,2026-02,2板补涨阴,False,,U突破,,True,炸板,3.07,7.11,7.11,3.66,-11.76,17.48,18,+-+,2,0.0,0.61,52.0,False,,False,False,False
000753.SZSE,漳州发展,2025-11-28,2025-11,2板补涨阴,False,,U坑内,,True,封D1正,1.16,1.51,1.51,-22.73,-22.73,0.0,17,--+,2,-2.25,0.75,41.0,False,,True,False,False
000759.SZSE,中百集团,2026-06-29,2026-06,2板补涨阴,False,,U坑内,,True,封D1正,-0.79,0.63,0.63,-8.45,-15.47,8.3,14,+++,2,-7.57,2.74,51.0,False,,True,False,False
000766.SZSE,通化金马,2023-09-11,2023-09,2板补涨阴,False,,无U,,False,连板,8.29,10.05,57.94,4.15,-2.81,7.16,7,+++,2,0.13,0.77,26.0,True,05,True,True,False
000766.SZSE,通化金马,2023-12-08,2023-12,2板补涨阴,False,,无U,,True,封D1正,1.65,1.86,1.86,1.85,1.85,0.0,3,+++,2,-2.76,1.45,33.0,False,,True,False,False
