vt_symbol,name,date,ym,res,D1开%,D1收%,板留%,地基,回撤%,蹲深%,弹回%,低点位置,振幅%,破顶,断板,上波高,昨幅%,昨上影%,昨涨停家,is_wv,is_lim,n1_lim
600228.SSE,返利科技,2023-04-12,2023-04,封D1正,-1.35,4.36,4.36,LB·L趴底,-11.29,-12.1,0.92,0.2222222222222222,20.35,True,11,2,-1.63,2.85,24.0,False,True,False
600228.SSE,返利科技,2024-12-12,2024-12,炸板,-6.07,-4.58,-4.58,U·U型蹲,-6.15,-17.73,14.08,0.5454545454545454,14.66,False,13,2,-0.5,0.75,119.0,False,False,False
600228.SSE,返利科技,2026-07-09,2026-07,封D1负,0.0,-3.27,-3.27,DN·阴跌到点,-40.69,-40.69,0.0,1.0,59.22,False,9,3,-2.74,0.3,41.0,False,True,False
600234.SSE,科新发展,2023-12-22,2023-12,封D1正,0.0,3.1,3.1,DN·阴跌到点,-15.9,-15.9,0.0,1.0,7.07,False,4,2,-2.96,0.0,31.0,False,True,False
600234.SSE,科新发展,2024-01-08,2024-01,封D1负,0.59,-1.18,-1.18,DN·阴跌到点,-21.23,-21.23,0.0,1.0,21.09,False,14,2,-8.46,0.24,18.0,False,True,False
600234.SSE,科新发展,2024-04-23,2024-04,连板,1.56,9.9,17.71,DN·阴跌到点,-49.86,-49.86,0.0,1.0,96.28,False,20,2,-6.93,3.2,40.0,True,True,True
600234.SSE,科新发展,2026-05-22,2026-05,连板,0.0,10.01,13.39,DN·阴跌到点,-24.94,-24.94,0.0,1.0,26.71,False,9,2,-6.08,0.0,32.0,True,True,True
600236.SSE,桂冠电力,2026-07-29,2026-07,封D1负,1.19,-2.01,-2.01,DN·阴跌到点,-14.98,-14.98,0.0,1.0,23.26,True,7,2,-5.97,1.8,57.0,False,True,False
600241.SSE,时代万恒,2023-12-14,2023-12,封D1正,0.69,2.88,2.88,FLAT·横盘平台,-7.57,-9.08,1.66,0.0,5.99,False,5,2,-4.08,1.05,32.0,False,True,False
600241.SSE,时代万恒,2024-03-26,2024-03,封D1负,3.17,-2.38,-2.38,MID·中位浅调,-4.85,-5.54,0.73,0.0,15.98,True,10,2,-2.83,0.57,36.0,False,True,False
600246.SSE,万通发展,2024-11-18,2024-11,炸板,-6.86,-5.23,-5.23,DN·阴跌到点,-18.28,-18.28,0.0,1.0,29.74,True,13,4,-7.1,0.25,53.0,False,False,False
600246.SSE,万通发展,2025-09-09,2025-09,炸板,-5.91,-2.88,-2.88,HIGH·新高贴顶,-3.68,-4.7,1.07,0.3333333333333333,23.17,True,11,3,-1.6,1.44,56.0,False,False,False
600246.SSE,万通发展,2025-12-08,2025-12,炸板,-2.56,-4.62,-4.62,FLAT·横盘平台,-8.39,-8.39,0.0,1.0,9.0,False,7,2,-4.56,1.42,58.0,False,False,False
600246.SSE,万通发展,2026-07-16,2026-07,炸板,-3.99,-11.38,-11.38,HIGH·新高贴顶,-3.33,-3.33,0.0,1.0,15.63,True,7,2,-6.21,3.13,65.0,False,False,False
600250.SSE,南京商旅,2025-06-26,2025-06,封D1正,-0.34,4.6,4.6,DN·阴跌到点,-24.22,-24.93,0.95,0.625,19.87,False,10,2,-0.09,0.84,50.0,False,True,False
600250.SSE,南京商旅,2025-07-02,2025-07,封D1正,-1.95,2.57,2.57,U·U型蹲,-17.05,-24.93,10.5,0.4166666666666667,19.87,False,14,2,-1.27,2.45,49.0,False,True,False
600250.SSE,南京商旅,2025-07-10,2025-07,封D1正,2.34,4.31,4.31,U·U型蹲,-11.65,-24.93,17.69,0.2777777777777778,34.25,True,20,2,-7.23,1.94,40.0,False,True,False
600255.SSE,鑫科材料,2025-01-07,2025-01,封D1正,-3.66,4.71,4.71,DN·阴跌到点,-15.16,-16.38,1.46,0.7,25.15,True,12,4,-3.34,3.34,52.0,False,True,False
600257.SSE,大湖股份,2023-07-07,2023-07,封D1正,4.9,1.93,1.93,FLAT·横盘平台,-8.37,-9.72,1.49,0.15384615384615385,6.62,False,15,2,-0.33,0.65,28.0,False,True,False
600262.SSE,北方股份,2024-08-06,2024-08,连板,4.29,10.02,-0.97,DN·阴跌到点,-7.54,-7.54,0.0,1.0,11.02,True,9,2,-6.96,0.89,38.0,True,True,True
600268.SSE,国电南自,2025-08-08,2025-08,封D1正,-0.79,1.28,1.28,DN·阴跌到点,-15.01,-16.21,1.43,0.6363636363636364,15.71,False,13,2,-0.54,0.43,47.0,False,True,False
600270.SSE,外运发展,2015-08-04,2015-08,炸板,-0.42,-0.91,-0.91,HIGH·新高贴顶,-3.04,-6.32,3.5,0.0,27.61,True,15,3,-5.68,2.29,0.0,False,False,False
600271.SSE,航天信息,2026-01-08,2026-01,封D1正,-0.24,2.39,2.39,HIGH·新高贴顶,7.23,-8.17,16.77,0.3076923076923077,22.29,True,15,2,-4.52,0.0,63.0,False,True,False
600272.SSE,开开实业,2024-02-02,2024-02,封D1负,-9.96,-9.96,-9.96,DN·阴跌到点,-31.55,-31.55,0.0,1.0,31.47,False,5,4,-6.1,2.76,27.0,False,True,False
600272.SSE,开开实业,2024-08-06,2024-08,封D1正,2.41,1.95,1.95,FLAT·横盘平台,-10.49,-10.49,0.0,1.0,7.54,False,9,2,-4.39,2.44,38.0,False,True,False
600279.SSE,重庆港,2024-11-14,2024-11,封D1正,2.51,4.66,4.66,FLAT·横盘平台,-8.15,-8.15,0.0,1.0,4.73,False,3,2,-4.52,2.07,50.0,False,True,False
600281.SSE,华阳新材,2024-03-26,2024-03,炸板,-5.36,-10.46,-10.46,MID·中位浅调,-6.32,-9.47,3.49,0.3,14.24,True,12,3,-2.73,1.09,36.0,False,False,False
600281.SSE,华阳新材,2024-04-24,2024-04,封D1负,0.31,-1.25,-1.25,DN·阴跌到点,-34.39,-34.39,0.0,1.0,58.62,True,13,2,-2.03,0.68,36.0,False,True,False
600281.SSE,华阳新材,2025-05-12,2025-05,封D1负,1.9,-2.95,-2.95,HIGH·新高贴顶,6.95,5.46,1.41,0.0,17.41,True,6,2,-8.88,0.42,27.0,False,True,False
600281.SSE,华阳新材,2025-05-16,2025-05,连板,2.97,10.1,16.83,HIGH·新高贴顶,13.9,5.46,8.0,0.0,17.41,True,10,2,-6.13,3.68,40.0,True,True,True
600281.SSE,华阳新材,2025-06-27,2025-06,封D1正,2.19,7.75,7.75,DN·阴跌到点,-14.33,-14.33,0.0,1.0,35.85,True,10,3,-1.58,1.9,46.0,False,True,False
600281.SSE,华阳新材,2025-07-11,2025-07,封D1正,6.43,3.21,3.21,U·U型蹲,-6.47,-14.33,9.16,0.4444444444444444,35.85,True,20,3,0.44,1.78,54.0,False,True,False
600287.SSE,苏豪时尚,2023-11-28,2023-11,封D1正,4.42,0.91,0.91,DN·阴跌到点,-14.12,-14.12,0.0,1.0,8.89,False,3,2,-8.17,3.7,28.0,False,True,False
600288.SSE,大恒科技,2025-08-06,2025-08,封D1正,0.0,3.02,3.02,DN·阴跌到点,-8.71,-8.71,0.0,1.0,10.79,True,8,2,-8.71,2.73,44.0,False,True,False
600292.SSE,电投水电,2023-08-25,2023-08,炸板,-2.21,5.24,5.24,FLAT·横盘平台,-9.23,-9.23,0.0,1.0,3.49,False,4,2,-3.37,2.64,28.0,False,False,False
600292.SSE,电投水电,2024-11-19,2024-11,封D1正,2.05,5.74,5.74,DN·阴跌到点,-4.52,-4.52,0.0,1.0,22.99,True,7,2,-5.27,3.27,74.0,False,True,False
600292.SSE,电投水电,2024-12-18,2024-12,炸板,-7.47,-8.38,-8.38,DN·阴跌到点,-17.89,-17.89,0.0,1.0,28.57,True,12,2,-4.57,0.61,25.0,False,False,False
600293.SSE,三峡新材,2026-06-15,2026-06,封D1正,1.87,1.07,1.07,DN·阴跌到点,-13.89,-13.89,0.0,1.0,21.11,True,6,2,-6.06,1.38,83.0,False,True,False
600297.SSE,广汇汽车,2022-06-01,2022-06,封D1正,-0.36,1.8,1.8,DN·阴跌到点,-11.54,-11.54,0.0,1.0,15.02,True,5,2,-2.32,0.0,0.0,False,True,False
600297.SSE,广汇汽车,2022-06-08,2022-06,炸板,-4.84,-7.96,-7.96,MID·中位浅调,-8.04,-11.54,3.95,0.42857142857142855,15.02,True,9,2,-3.31,1.1,0.0,False,False,False
