vt_symbol,name,g4,n1_date,h,lim3,vr_d0,vr_d1,gap_d1,bias10,tseg,B,ret_bw,A_B
002085.SZSE,万丰奥威,yin2,2024-03-15,2,False,1.491924568543498,0.4525755622730424,0.031040268456375752,26.579590103005213,,0.13926174496644306,0.18204697986577179,0.04278523489932873
002086.SZSE,东方海洋,yang2,2024-11-06,3,True,1.3595053956529513,1.1331952261513218,0.098901098901099,9.903381642512077,中,0.20879120879120872,0.20879120879120872,0.0
002097.SZSE,山河智能,yin4,2025-07-28,2,False,1.9662713247523458,1.8246418907441337,0.040462427745664664,26.09329446064137,早,0.1445086705202312,0.1337737407101569,-0.01073492981007429
002097.SZSE,山河智能,yang4,2025-08-04,2,False,0.48595659430863025,1.2675788854555847,0.024983984625240208,24.55118487193808,早,0.08904548366431775,0.12107623318385663,0.03203074951953888
002117.SZSE,东港股份,yin2,2025-01-02,2,False,1.7785313014060027,1.4749776050154402,-0.017120622568093324,18.640938048195,中,0.049805447470817166,-0.009338521400778177,-0.05914396887159534
002119.SZSE,康强电子,yin2,2026-01-27,2,False,0.8965241925630848,1.519917468183993,0.0694949494949495,9.426120788752312,早,0.06828282828282828,0.03474747474747475,-0.03353535353535353
002137.SZSE,实益达,yin2,2024-12-19,6,True,1.1265101955794758,1.1962991220862695,0.1006535947712417,3.2667386609071203,尾,0.2104575163398692,0.4509803921568627,0.2405228758169935
002150.SZSE,正泰电源,yin2,2025-10-29,2,False,1.4107661340601008,0.5668228298916284,0.08376421923474675,4.574456580512609,中,0.12823164426059974,0.04188210961737315,-0.08634953464322659
002150.SZSE,正泰电源,yin2,2026-03-20,2,False,0.7405689670662968,1.7087851246011996,0.05475917431192645,9.993377692283456,早,0.08629587155963292,0.06192660550458706,-0.024369266055045857
002155.SZSE,湖南黄金,yin4,2026-02-27,2,False,1.6765238737189334,2.4854634413959293,0.06100795755968158,9.418081555652314,午,0.08037135278514573,0.07904509283819627,-0.0013262599469494596
002156.SZSE,通富微电,yin2,2024-11-05,2,False,1.339477088795745,1.6357988683427638,0.013620525815647655,22.137109254100928,中,0.043712385175799895,0.07190370605004759,0.028191320874247694
002160.SZSE,常铝股份,yin2,2025-10-29,2,False,1.1260154322264897,1.1047680085256892,0.033450704225352235,16.75231243576567,午,0.05809859154929575,-0.008802816901408383,-0.06690140845070414
002167.SZSE,东方锆业,yin4,2026-06-30,2,False,0.8191729502164156,0.839626715106328,0.011327594019030274,15.398692810457515,中,0.06524694154961486,0.18033529678296323,0.11508835523334837
002178.SZSE,延华智能,yang4,2024-10-29,3,True,0.8286717274383988,1.0393265390625497,0.03960396039603964,15.958668197474157,早,0.21122112211221133,0.09075907590759091,-0.12046204620462042
002181.SZSE,粤 传 媒,yin4,2024-12-17,3,True,1.7770065548029224,0.24416463251542808,0.04306220095693791,30.482285000780408,早,0.21052631578947367,0.08971291866028719,-0.12081339712918648
002181.SZSE,粤 传 媒,yang2,2026-04-30,2,False,0.813044831813234,1.7627691522675197,0.0,17.28307254623045,早,0.10369921164342033,0.13523347483323223,0.031534263189811895
002187.SZSE,广百股份,yang2,2024-12-12,2,False,0.7819167944974884,2.5997306855446283,0.04972375690607733,8.496927918477448,早,0.12983425414364635,0.13121546961325947,0.0013812154696131174
002187.SZSE,广百股份,yang2,2025-01-15,2,False,1.3450171556328563,1.0441088247093333,-0.03715846994535521,16.917965755175057,中,0.15081967213114744,0.02732240437158473,-0.12349726775956271
002187.SZSE,广百股份,yin2,2025-12-15,2,False,0.8138330585499047,1.1579990946257153,0.01997336884154466,-0.7401533174729136,中,0.08921438082556588,0.059920106524633754,-0.02929427430093212
002199.SZSE,东晶电子,yin2,2026-07-28,2,False,1.0148600132821355,2.2873764078512724,-0.025472473294987696,10.29545042595612,早,0.08956450287592443,0.17009038619556294,0.0805258833196385
002205.SZSE,国统股份,yang2,2025-08-08,2,False,1.789577972539839,2.3350999336571676,0.07585247042449561,5.0208287656215544,午,0.10020876826722347,0.08350730688935282,-0.016701461377870652
002210.SZSE,飞马国际,yang2,2024-11-05,2,False,0.4804534971217705,1.5683440051415105,0.06329113924050622,9.874826147426985,早,0.09282700421940926,0.13080168776371304,0.03797468354430378
002212.SZSE,天融信,yin2,2025-08-26,2,False,2.7515283898613885,2.1715845912116745,0.000888888888888939,25.867084358917005,早,0.12622222222222224,0.15466666666666673,0.028444444444444494
002218.SZSE,拓日新能,yang2,2026-01-23,3,True,0.33386108398780434,0.11618880629982643,0.1007326007326006,8.50556438791732,早,0.1282051282051282,0.2637362637362639,0.13553113553113572
002229.SZSE,鸿博股份,yin2,2023-08-14,2,False,0.7547128040807458,1.332479581162118,0.09772423025435062,3.0686020199790276,,0.11914323962516726,0.01740294511378848,-0.10174029451137878
002229.SZSE,鸿博股份,yang2,2023-08-21,2,False,0.8416563748415176,1.0084380860354032,0.10007286859363607,10.006680026720115,,0.047121690551372275,0.02744717026961374,-0.019674520281758534
002232.SZSE,启明信息,yang2,2024-07-26,3,True,1.1683597114360191,0.09527669245749176,0.10010266940451751,30.15300327386916,,0.20995893223819295,0.2879876796714578,0.07802874743326482
002247.SZSE,聚力文化,yin2,2024-10-30,2,False,1.1418748276761486,1.8163504500040428,0.10116731517509736,25.6723716381418,早,0.15175097276264604,0.0077821011673151474,-0.1439688715953309
002253.SZSE,川大智胜,yang2,2024-10-28,4,True,0.9077764039999502,0.12517944201848308,0.10022026431718056,20.808940926024476,早,0.2103524229074889,0.19823788546255505,-0.012114537444933848
002265.SZSE,建设工业,yang2,2025-07-17,3,True,2.0772939903480223,1.1707772177527123,0.09718586387434569,9.432070471961618,早,0.10176701570680646,0.2928664921465969,0.19109947643979042
002272.SZSE,川润股份,yin4,2024-10-30,2,False,1.5422189250621225,0.951176028065004,0.046122994652406435,35.39686849488641,中,0.10962566844919786,-0.010026737967914423,-0.11965240641711228
002276.SZSE,万马股份,yin2,2025-04-09,2,False,1.2606406754842823,2.596683003000267,0.061515378844711144,-4.266015512783694,早,0.08027006751687926,0.06976744186046502,-0.010502625656414244
002281.SZSE,光迅科技,yang2,2023-06-14,2,False,1.9770236760361743,1.1268435302500424,0.026043300909946776,13.56590528453836,,0.08973956699090047,0.15123941010354547,0.061499843112645
002292.SZSE,奥飞娱乐,yang4,2023-05-04,2,False,1.0083971964272849,0.9819211643303803,-0.0009784735812132794,10.153050226341875,,0.13405088062622306,0.09295499021526421,-0.041095890410958846
002292.SZSE,奥飞娱乐,yin2,2023-06-01,2,False,1.0790430760644434,0.8614685245866093,0.05163329820864071,11.254396248534594,,0.12434141201264493,0.17597471022128564,0.05163329820864071
002295.SZSE,精艺股份,yang2,2025-07-08,2,False,1.4741162461552408,2.820568354672657,0.07569721115537864,11.0373811103738,尾,0.08565737051792843,0.030876494023904355,-0.05478087649402408
002300.SZSE,太阳电缆,yang2,2025-12-02,4,True,1.6903801393592208,1.1890325838458267,0.07840616966580982,11.557212503584768,中,0.21079691516709498,0.33419023136246784,0.12339331619537286
002300.SZSE,太阳电缆,yin4,2025-12-12,3,True,0.7293970968361142,0.06877252501830707,0.10009354536950421,13.494001486357355,中,0.17025257249766135,0.08980355472404122,-0.08044901777362012
002302.SZSE,西部建设,yin2,2025-08-08,2,False,4.7706061135840985,3.7834631299097206,0.06099290780141842,7.93018983466014,午,0.10070921985815606,0.11063829787234036,0.0099290780141843
002313.SZSE,日海智能,yin4,2024-03-08,3,True,0.787799500576036,1.800845831004533,0.031152647975077663,7.035678559519831,,0.12668743509865,0.19210799584631366,0.06542056074766367
002313.SZSE,日海智能,yang2,2025-01-08,2,False,0.9187469947448532,2.9155232871445804,0.010452961672473782,5.773955773955786,早,0.09988385598141702,-0.0034843205574912606,-0.10336817653890829
002315.SZSE,焦点科技,yang2,2023-04-25,2,False,1.0411374659750523,0.36326265237940436,0.10003461405330571,12.107101280558785,,0.14226375908618905,0.07338179300796122,-0.06888196607822783
002335.SZSE,科华数据,yang2,2025-02-21,2,False,1.140056994642828,1.1985634976215804,0.012869198312236207,20.033427030312232,早,0.04493670886075951,0.060337552742615985,0.015400843881856474
002342.SZSE,巨力索具,yin4,2026-01-21,3,True,1.0888835985280494,0.7875963002954317,0.05272564789991052,-3.8824944167668796,午,0.20643431635388754,0.22520107238605913,0.018766756032171594
002354.SZSE,天娱数科,yin2,2024-12-05,4,True,0.4077022708229905,0.08658358941127776,0.0996441281138789,6.64136622390894,早,0.20996441281138778,0.3736654804270463,0.1637010676156585
002354.SZSE,天娱数科,yin4,2026-06-18,2,False,0.9556185069658355,0.6644187500382587,0.047865459249676556,1.7908875427969484,早,0.10090556274256146,0.04915912031047842,-0.05174644243208304
