vt_symbol,name,g4,trade_date,n1_date,h,seal,a1,a2,st3,st3c,bias10,bias20,bias30,vr_d0,vr_tm1,touch,tseg
603666.SSE,亿嘉和,yin4,2024-11-28,2024-11-29,0,False,False,False,-+,混合,0~5,-5~0,>5,2.1396203675805965,0.5991141639775682,14:15,尾14:00~15:00
603667.SSE,五洲新春,yang4,2024-12-11,2024-12-12,2,True,True,False,++,全多(10>20>30),>5,>5,>5,1.0073375531651565,1.6588184921272813,11:15,中10:30~11:30
603667.SSE,五洲新春,yang2,2025-01-08,2025-01-09,2,True,True,False,-+,混合,>5,0~5,>5,1.4938773321895775,1.7977341202211456,13:15,午13:00~14:00
603667.SSE,五洲新春,yin2,2025-01-13,2025-01-14,2,True,True,False,--,全空(10<20<30),>5,>5,>5,1.1064050880639331,3.073462716790535,10:00,早09:30~10:30
603667.SSE,五洲新春,yang2,2025-02-06,2025-02-07,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.2333283068190533,0.9917021307048597,10:00,早09:30~10:30
603667.SSE,五洲新春,yin2,2026-02-05,2026-02-06,1,True,False,False,-+,混合,>5,0~5,>5,0.9968634926393152,0.7318028433044296,10:30,早09:30~10:30
603669.SSE,灵康药业,yang2,2024-12-09,2024-12-10,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.0017542420522902,0.8639102072065729,09:45,早09:30~10:30
603676.SSE,卫信康,yin2,2025-07-07,2025-07-08,1,True,False,False,+-,混合,>5,>5,>5,1.4323413317613878,5.362956445226573,09:45,早09:30~10:30
603677.SSE,奇精机械,yang4,2025-03-31,2025-04-01,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.5160936857964662,0.9225482272479374,14:00,午13:00~14:00
603677.SSE,奇精机械,yang4,2025-04-17,2025-04-18,1,True,False,False,--,全空(10<20<30),>5,0~5,0~5,1.4673628369869272,1.2346258006650386,11:00,中10:30~11:30
603678.SSE,火炬电子,yin2,2026-06-10,2026-06-11,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.7197955592066816,0.78346649122327,13:15,午13:00~14:00
603678.SSE,火炬电子,yin2,2026-06-12,2026-06-15,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.31033155802470486,0.9733527802661437,09:45,早09:30~10:30
603678.SSE,火炬电子,yin2,2026-06-23,2026-06-24,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.3440301863939766,1.0041430209584143,09:45,早09:30~10:30
603678.SSE,火炬电子,yang2,2026-06-30,2026-07-01,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.447911989475828,1.1938800132183065,10:00,早09:30~10:30
603678.SSE,火炬电子,yin2,2026-07-22,2026-07-23,0,False,False,False,--,全空(10<20<30),<-5,<-5,<-5,1.263881429400691,1.0755584415175046,09:45,早09:30~10:30
603679.SSE,华体科技,yang4,2024-04-17,2024-04-18,1,True,False,False,-+,混合,<-5,<-5,-5~0,0.9942402282977979,0.8735329823704732,,
603679.SSE,华体科技,yin2,2024-11-01,2024-11-04,3,True,True,True,++,全多(10>20>30),>5,>5,>5,0.678939672716341,0.773761615570352,10:30,早09:30~10:30
