组,月,笔数,坏票率,封住率,次日收,持有到断板
4板反包阴,2024-12,6,50%,83%,3.0,9.08
4板反包阴,2025-01,4,50%,100%,0.66,-1.01
4板反包阴,2025-02,3,100%,67%,-3.36,-3.85
4板反包阴,2025-03,3,0%,100%,8.58,8.18
4板反包阴,2025-04,4,75%,100%,-2.11,-2.11
4板反包阴,2025-05,5,80%,60%,-6.66,-4.4
4板反包阴,2025-06,2,0%,100%,0.7,0.7
4板反包阴,2025-07,8,25%,75%,4.89,7.04
4板反包阴,2025-08,2,0%,100%,10.0,11.17
4板反包阴,2025-09,4,50%,50%,-2.43,0.01
4板反包阴,2025-10,1,0%,0%,4.93,-4.62
4板反包阴,2025-11,1,100%,100%,-9.98,-9.98
4板反包阴,2025-12,7,71%,57%,-5.87,-3.33
4板反包阴,2026-01,4,50%,75%,-0.33,-0.41
4板反包阴,2026-02,4,50%,50%,1.26,-2.29
4板反包阴,2026-03,5,60%,80%,-1.01,-2.97
4板反包阴,2026-05,6,50%,83%,1.07,-0.2
4板反包阴,2026-06,4,25%,75%,3.98,8.34
4板反包阴,2026-07,1,0%,100%,5.15,5.15
4板反包阴,2026-08,6,33%,100%,3.46,1.72
4板反包阴,2026-09,1,0%,100%,9.96,8.58
5+板反包,2023-05,2,50%,100%,2.37,2.03
5+板反包,2023-06,7,57%,29%,-3.35,-2.94
5+板反包,2023-07,6,67%,50%,-1.94,-2.5
5+板反包,2023-08,7,71%,86%,-3.88,-4.34
5+板反包,2023-09,3,67%,67%,-4.08,-0.81
5+板反包,2023-10,3,33%,67%,0.11,-0.2
5+板反包,2023-11,13,62%,69%,-2.19,-0.14
5+板反包,2023-12,7,57%,71%,-1.1,-0.53
5+板反包,2024-01,6,100%,67%,-6.64,-6.25
5+板反包,2024-02,20,15%,50%,4.44,1.51
5+板反包,2024-03,10,50%,70%,-3.09,-2.7
5+板反包,2024-04,18,56%,61%,-0.52,-0.19
5+板反包,2024-05,11,55%,64%,0.64,0.47
5+板反包,2024-06,5,40%,60%,-1.73,0.82
5+板反包,2024-07,11,73%,82%,-1.11,-0.77
5+板反包,2024-08,15,73%,47%,-2.26,-2.33
5+板反包,2024-09,12,42%,75%,1.03,1.12
5+板反包,2024-10,25,80%,60%,-4.2,-2.21
5+板反包,2024-11,23,30%,78%,3.67,4.61
5+板反包,2024-12,32,69%,62%,-2.81,-2.86
5+板反包,2025-01,21,48%,67%,0.86,0.41
5+板反包,2025-02,23,74%,65%,-2.52,-1.36
5+板反包,2025-03,16,69%,69%,-1.22,-0.97
5+板反包,2025-04,12,58%,75%,-1.51,-1.93
5+板反包,2025-05,7,29%,100%,4.18,4.05
5+板反包,2025-06,16,38%,62%,0.09,0.48
5+板反包,2025-07,10,60%,80%,0.15,-1.28
