代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
002095.SZSE,生 意 宝,2024-11-22,三接四阴,—,阴,-5.54,巨阴≤-5,-5.5,-5.3,-3.1,-2.5,0,下,3.0,1.56,断16~60天,37.0,1.0,27.5,-1.5,09-19,下影+1→下影+4→一字+10,9.99,10.02,2.28,2024-11,2024
002095.SZSE,生 意 宝,2024-11-29,二接三阴,—,阴,-7.03,巨阴≤-5,5.3,20.6,31.7,36.8,4,上,16.68,9.78,断1天,1.0,5.0,2.3,-10.0,11-25,实体-10→下影+7,3.31,2.7,2.7,2024-11,2024
002095.SZSE,生 意 宝,2024-12-02,三接四阴,—,阴,-7.03,巨阴≤-5,5.3,20.6,31.7,36.8,4,上,16.68,9.78,断1天,1.0,5.0,2.3,-10.0,11-25,实体-10→下影+7→下影+3,-4.65,-15.96,-15.96,2024-12,2024
002097.SZSE,山河智能,2025-07-24,三接四阴,—,阴,-0.62,小阴-3~0,0.2,0.4,-0.7,0.1,3,上,-0.76,0.02,60日内无板,,,,,,下影+4→下影+7→一字+10,7.87,-6.22,-6.22,2025-07,2025
002098.SZSE,浔兴股份,2025-04-18,三接四阴,—,阴,2.78,小阳0~3,3.4,-2.5,-7.9,-9.7,1,下,-6.94,-4.12,60日内无板,,,,,,下影+2→一字+10→一字+10,3.45,-16.05,-16.05,2025-04,2025
002099.SZSE,海翔药业,2026-02-10,二接三阴,—,阴,-2.15,小阴-3~0,0.8,3.7,2.3,4.0,4,上,2.41,0.88,60日内无板,,,,,,下影+1→下影+10,0.0,-9.79,-9.79,2026-02,2026
002103.SZSE,广博股份,2023-11-21,三接四阴,—,阴,0.16,小阳0~3,0.8,1.3,5.2,6.2,4,上,2.21,2.19,60日内无板,,,,,,实体-0→一字+10→一字+10,1.34,9.96,-1.0,2023-11,2023
002103.SZSE,广博股份,2024-11-22,二接三阳,—,阳,5.39,巨阳≥5,4.9,8.8,14.2,18.1,4,上,7.29,4.61,断2~3天,2.0,1.0,10.2,-9.3,11-15,实体-3→下影+1,2.17,9.96,59.34,2024-11,2024
002104.SZSE,恒宝股份,2024-09-09,二接三阳,—,阳,-1.13,小阴-3~0,0.5,2.0,2.1,2.1,4,上,0.08,0.51,60日内无板,,,,,,实体+1→一字+10,4.39,-19.52,-19.52,2024-09,2024
002104.SZSE,恒宝股份,2025-06-03,二接三阳,—,阳,0.96,小阳0~3,1.2,-0.5,-5.2,-5.9,1,下,-5.78,-2.74,断16~60天,20.0,1.0,-4.4,-15.8,04-25,实体-1→下影+4,9.99,-2.04,-2.04,2025-06,2025
