代码,买入日,方案点,四组,年,封住,缩量强趋势,E0,E1,E2,E3,E4,E5,E6
600500.SSE,2026-06-12,—,三接四阴,2026,True,False,3.90920554854981,-1.0088272383354413,3.90920554854981,3.90920554854981,-1.0088272383354413,16.015132408575017,14.249684741488021
600501.SSE,2024-05-30,—,二接三阳,2024,True,False,5.973025048169545,4.367373153500309,10.019267822736033,5.973025048169545,5.973025048169545,9.826589595375722,9.826589595375722
600501.SSE,2024-05-31,—,三接四阳,2024,True,False,-3.677758318739044,4.378283712784592,-3.677758318739044,-3.677758318739044,-3.677758318739044,-0.17513134851137035,-0.17513134851137035
600501.SSE,2024-07-30,—,二接三阳,2024,True,False,29.757785467128038,8.996539792387527,9.97693194925029,29.757785467128038,29.757785467128038,16.782006920415228,16.782006920415228
600501.SSE,2024-07-31,—,三接四阳,2024,True,False,17.98636601992658,10.015731515469328,10.015731515469328,17.98636601992658,17.98636601992658,6.187729417933929,6.187729417933929
600502.SSE,2026-04-01,—,二接三阴,2026,False,False,-8.885298869143787,-12.277867528271413,-8.885298869143787,-10.339256865912771,-12.277867528271413,-8.885298869143787,-15.024232633279489
600503.SSE,2024-12-12,—,二接三阴,2024,False,False,-19.905213270142173,-18.246445497630326,-19.905213270142173,-11.61137440758293,-18.246445497630326,-19.905213270142173,-11.848341232227478
600505.SSE,2024-05-14,—,二接三阴,2024,True,False,-9.985528219971062,-5.354558610709114,-9.985528219971062,-9.985528219971062,-5.354558610709114,-15.340086830680178,-15.340086830680178
600505.SSE,2025-04-28,—,二接三阳,2025,False,False,-18.147086914995224,-16.571155682903548,-18.147086914995224,-9.073543457497625,-16.571155682903548,-18.147086914995224,-25.45367717287489
600506.SSE,2023-11-13,—,二接三阴,2023,False,False,-12.886969042476604,-15.11879049676027,-12.886969042476604,-14.182865370770347,-15.11879049676027,-12.886969042476604,-4.17566594672426
600506.SSE,2023-11-17,—,二接三阳,2023,True,False,-0.43478260869564966,1.2422360248447228,9.999999999999986,-0.43478260869564966,-0.43478260869564966,-1.4285714285714457,9.503105590062088
600506.SSE,2023-11-20,—,三接四阳,2023,True,False,-9.486166007905139,5.081874647092022,-9.486166007905139,-9.486166007905139,-9.486166007905139,-10.389610389610393,-0.45172219085263254
600506.SSE,2023-12-29,—,二接三阳,2023,True,False,-10.005497526113249,-1.0995052226498214,-10.005497526113249,-10.005497526113249,-1.0995052226498214,-18.08686091258934,-18.08686091258934
600506.SSE,2024-12-13,—,二接三阳,2024,False,False,-12.281415209434732,-9.51606344042294,-12.281415209434732,-12.159414396095968,-9.51606344042294,-12.281415209434732,-6.181374542496954
600508.SSE,2026-08-26,—,二接三阳,2026,False,False,-1.6722408026755953,-9.030100334448166,-1.6722408026755953,-4.264214046822756,-9.030100334448166,-1.6722408026755953,1.3377926421404451
600513.SSE,2023-11-27,—,二接三阳,2023,False,False,-15.694444444444445,-18.680555555555557,-15.694444444444445,-9.652777777777777,-18.680555555555557,-15.694444444444445,-12.222222222222223
600513.SSE,2024-11-08,—,二接三阳,2024,False,False,-13.451191391237504,-12.605687932359732,-13.451191391237504,-12.375096079938508,-12.605687932359732,-13.451191391237504,-14.681014604150654
600513.SSE,2025-07-14,—,二接三阴,2025,True,True,-10.012135922330101,-2.9126213592232997,-10.012135922330101,-10.012135922330101,-2.9126213592232997,0.9708737864077666,-1.0315533980582603
600518.SSE,2024-11-11,—,二接三阳,2024,True,False,-6.0070671378091856,0.7067137809187329,-6.0070671378091856,-6.0070671378091856,-6.0070671378091856,-10.954063604240282,-10.954063604240282
600520.SSE,2023-10-19,—,二接三阴,2023,True,False,25.256895619253662,10.005408328826393,10.005408328826393,25.256895619253662,25.256895619253662,12.709572742022734,12.709572742022734
600520.SSE,2023-10-20,—,三接四阴,2023,True,False,13.864306784660773,9.980334316617512,9.980334316617512,13.864306784660773,13.864306784660773,2.4582104228122015,2.4582104228122015
600520.SSE,2023-11-08,—,二接三阳,2023,True,False,-0.09693053311792266,3.2310177705977328,-0.09693053311792266,-0.09693053311792266,-0.09693053311792266,13.053311793214872,9.886914378029065
600520.SSE,2024-10-28,—,二接三阴,2024,True,False,-2.0207743153918822,-4.438149197356001,-2.0207743153918822,-2.0207743153918822,-4.438149197356001,-11.161473087818708,-11.161473087818708
600527.SSE,2024-11-01,—,二接三阴,2024,False,False,-15.81196581196581,-13.247863247863256,-15.81196581196581,-8.119658119658112,-13.247863247863256,-15.81196581196581,-10.256410256410241
600527.SSE,2024-12-11,—,三接四阳,2024,True,False,-8.695652173913048,-6.666666666666665,-8.695652173913048,-8.695652173913048,-6.666666666666665,-17.68115942028986,-17.68115942028986
600531.SSE,2026-01-27,—,二接三阳,2026,True,False,8.88238164958517,6.1493411420205035,10.004880429477803,8.88238164958517,8.88238164958517,-2.000976085895556,-2.000976085895556
600531.SSE,2026-01-28,—,三接四阳,2026,True,False,-1.0204081632653073,9.937888198757783,9.982253771073646,-1.0204081632653073,-1.0204081632653073,-10.913930789707194,-10.913930789707194
600539.SSE,2025-01-16,—,二接三阳,2025,True,False,-1.0215664018161208,9.98864926220202,9.98864926220202,-1.0215664018161208,-1.0215664018161208,-10.896708286038603,-10.896708286038603
600539.SSE,2025-03-13,—,三接四阳,2025,True,False,-9.974747474747481,-8.459595959595955,-9.974747474747481,-9.974747474747481,-8.459595959595955,-19.00252525252525,-19.00252525252525
600540.SSE,2023-09-04,—,二接三阴,2023,False,False,-14.345403899721443,-10.863509749303613,-14.345403899721443,-8.07799442896936,-10.863509749303613,-14.345403899721443,-20.61281337047354
600540.SSE,2026-09-01,—,三接四阳,2026,True,False,-0.9803921568627527,9.967320261437917,9.967320261437917,-0.9803921568627527,-0.9803921568627527,-0.16339869281045694,-0.16339869281045694
600545.SSE,2023-09-28,—,二接三阳,2023,True,False,-7.941176470588241,-2.0588235294117574,-7.941176470588241,-7.941176470588241,-2.0588235294117574,-10.882352941176476,-10.882352941176476
600545.SSE,2024-12-09,—,二接三阳,2024,False,False,22.222222222222232,-5.079365079365072,5.0793650793650835,-4.444444444444451,-5.079365079365072,22.222222222222232,10.158730158730167
